,3
pop_size,50
n_generations,30
mutation_prob,0.05
crossover_prob,0.95
problem,camel
selection_method,torneio
fitness_values,"[-0.9657345179629999, -0.9657345179629999, -0.9883472808033673, -1.006222559162211, -1.0082308422584276, -1.0300724323500106, -1.0300724323500106, -1.0300724323500106, -1.0310296320589032, -1.0310296320589032, -1.031083287636278, -1.0311027648576498, -1.0311551425055256, -1.0311551425055256, -1.0316184871876715, -1.0316184871876715, -1.0316258342772926, -1.0316258342772926, -1.0316258342772926, -1.0316258342772926, -1.0316261563987155, -1.0316271190811506, -1.0316271190811506, -1.0316271190811506, -1.0316271190811506, -1.0316283467761025, -1.0316283467761025, -1.0316283602462022, -1.0316283730178384, -1.0316283730178384]"
mean,-1.0239019786954913
median,-1.0316184871876715
min,-1.0316283730178384
max,-0.9657345179629999
