,5
pop_size,50
n_generations,30
mutation_prob,0.05
crossover_prob,0.9
problem,shubert
selection_method,torneio
fitness_values,"[-172.61520444872392, -178.49209720494724, -178.49209720494724, -186.7006553749112, -186.7006553749112, -186.7006553749112, -186.7006553749112, -186.70144305359653, -186.70144305359653, -186.70872489273188, -186.7165730404096, -186.7165730404096, -186.72743592066954, -186.72743592066954, -186.72743592066954, -186.72743592066954, -186.72743592066954, -186.7290331438396, -186.7290331438396, -186.7290331438396, -186.7290331438396, -186.72910479534497, -186.72910479534497, -186.72910479534497, -186.72910479534497, -186.72910479534497, -186.72976090087175, -186.72976090087175, -186.72976090087175, -186.72976090087175]"
mean,-185.70215523993085
median,-186.72743592066954
min,-186.72976090087175
max,-172.61520444872392
